日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-01-04,1118.28,1145.13,1147.13,1118.26,3.12,34.67,104721946,168799911936.0,2.6,1.84
2021-01-05,1144.37,1138.38,1144.37,1126.45,-0.59,-6.75,107564278,174619344896.0,1.56,1.89
2021-01-06,1138.0,1113.83,1138.58,1108.44,-2.16,-24.55,93548590,147951284224.0,2.65,1.64
2021-01-07,1111.8,1090.64,1111.8,1081.97,-2.08,-23.19,106658918,164884086784.0,2.68,1.87
2021-01-08,1090.16,1085.94,1093.94,1067.21,-0.43,-4.7,98495119,163148894208.0,2.45,1.73
2021-01-11,1087.07,1060.49,1087.24,1056.47,-2.34,-25.45,103300872,184665169920.0,2.83,1.81
2021-01-12,1057.23,1066.0,1067.83,1053.48,0.52,5.51,83711734,153769328640.0,1.35,1.47
2021-01-13,1067.07,1045.75,1067.07,1042.05,-1.9,-20.25,101139484,184913752064.0,2.35,1.77
2021-01-14,1041.89,1042.95,1051.42,1027.35,-0.27,-2.8,93172785,155803164672.0,2.3,1.63
2021-01-15,1040.24,1058.9,1060.0,1039.38,1.53,15.95,84770363,141421096960.0,1.98,1.49
2021-01-18,1056.64,1077.29,1078.09,1055.65,1.74,18.39,78109151,130692161536.0,2.12,1.37
2021-01-19,1077.22,1076.33,1084.57,1073.75,-0.09,-0.96,81406252,137025257472.0,1.0,1.43
2021-01-20,1077.83,1093.75,1093.79,1077.83,1.62,17.42,76123594,137852768256.0,1.48,1.33
2021-01-21,1091.84,1100.39,1105.62,1088.33,0.61,6.64,89723292,154752376832.0,1.58,1.57
2021-01-22,1099.01,1089.56,1099.01,1082.06,-0.98,-10.83,88467976,158542127104.0,1.54,1.55
2021-01-25,1087.27,1074.86,1087.35,1070.93,-1.35,-14.7,88241060,179183206400.0,1.51,1.55
2021-01-26,1072.26,1064.75,1081.36,1062.38,-0.94,-10.11,74630871,143565000704.0,1.77,1.31
2021-01-27,1064.34,1067.89,1069.88,1056.6,0.29,3.14,74173353,137835126784.0,1.25,1.3
2021-01-28,1057.81,1050.18,1070.76,1049.54,-1.66,-17.71,70607332,125254021120.0,1.99,1.24
2021-01-29,1055.09,1034.86,1057.96,1022.18,-1.46,-15.32,75030039,134735118336.0,3.41,1.32
2021-02-01,1026.77,1038.56,1038.83,1026.52,0.36,3.7,71127557,117685968896.0,1.19,1.25
2021-02-02,1039.0,1046.93,1047.33,1034.06,0.81,8.37,71527716,134734082048.0,1.28,1.25
2021-02-03,1045.32,1029.53,1045.48,1028.66,-1.66,-17.4,82667773,144857309184.0,1.61,1.45
2021-02-04,1024.88,1009.73,1026.34,996.31,-1.92,-19.8,78979095,131221139456.0,2.92,1.38
2021-02-05,1009.71,986.62,1018.0,986.62,-2.29,-23.11,68293519,125678039040.0,3.11,1.2
2021-02-08,986.72,985.53,994.25,974.89,-0.11,-1.09,57493128,111000133632.0,1.96,1.01
2021-02-09,987.07,1004.84,1006.97,986.22,1.96,19.31,60844608,110850379776.0,2.11,1.07
2021-02-10,1007.33,1011.87,1013.39,1004.28,0.7,7.03,58088530,112255373312.0,0.91,1.02
2021-02-18,1027.02,1037.69,1037.87,1025.96,2.55,25.82,73959224,144754610176.0,1.18,1.3
2021-02-19,1036.55,1062.67,1062.69,1032.28,2.41,24.98,76518807,126224224256.0,2.93,1.34
2021-02-22,1066.9,1070.89,1092.01,1066.9,0.77,8.22,98297766,161059282944.0,2.36,1.72
2021-02-23,1065.78,1062.96,1070.61,1057.52,-0.74,-7.93,76016681,126900432896.0,1.22,1.33
2021-02-24,1063.32,1062.56,1074.87,1053.45,-0.04,-0.4,77205161,140952027136.0,2.02,1.35
2021-02-25,1068.78,1050.12,1070.71,1048.21,-1.17,-12.44,69953262,115831844864.0,2.12,1.23
2021-02-26,1034.72,1047.44,1052.12,1032.0,-0.26,-2.68,68932859,113861976064.0,1.92,1.21
2021-03-01,1051.88,1077.2,1077.2,1051.88,2.84,29.76,70588641,114229293056.0,2.42,1.24
2021-03-02,1080.9,1072.28,1081.08,1065.07,-0.46,-4.92,70258056,114099535872.0,1.49,1.23
2021-03-03,1068.85,1087.07,1087.07,1067.84,1.38,14.79,68347502,99465969664.0,1.79,1.2
2021-03-04,1081.66,1073.67,1086.3,1070.83,-1.23,-13.4,81925046,126289154048.0,1.42,1.44
2021-03-05,1065.33,1085.56,1088.07,1064.04,1.11,11.89,77571776,113774182400.0,2.24,1.36
2021-03-08,1090.49,1068.1,1096.48,1068.1,-1.61,-17.46,82026985,123835617280.0,2.61,1.44
2021-03-09,1066.37,1035.54,1067.19,1020.29,-3.05,-32.56,84204045,124208193536.0,4.39,1.48
2021-03-10,1046.6,1028.04,1050.48,1026.87,-0.72,-7.5,61680492,98418892800.0,2.28,1.08
2021-03-11,1028.05,1050.4,1050.4,1021.67,2.18,22.36,65234429,99043213312.0,2.79,1.14
2021-03-12,1051.38,1051.11,1053.61,1041.04,0.07,0.71,71528684,106268135424.0,1.2,1.25
2021-03-15,1046.9,1045.84,1053.13,1037.54,-0.5,-5.27,68396992,99617878016.0,1.48,1.2
2021-03-16,1045.97,1055.55,1055.55,1043.18,0.93,9.71,67589699,92669919232.0,1.18,1.18
2021-03-17,1053.75,1065.28,1066.05,1047.34,0.92,9.73,60053765,92257878016.0,1.77,1.05
2021-03-18,1066.13,1063.73,1068.49,1061.2,-0.15,-1.55,60958024,92966555648.0,0.68,1.07
2021-03-19,1053.73,1059.62,1068.63,1049.98,-0.39,-4.11,60896287,95367241728.0,1.75,1.07
2021-03-22,1060.6,1075.93,1075.93,1060.6,1.54,16.31,62366431,88590213120.0,1.45,1.09
2021-03-23,1074.56,1057.7,1074.64,1053.16,-1.69,-18.23,63182067,93524443136.0,2.0,1.11
2021-03-24,1051.58,1042.48,1057.53,1040.25,-1.44,-15.22,57683730,85521563648.0,1.63,1.01
2021-03-25,1038.26,1036.87,1045.41,1031.53,-0.54,-5.61,48715328,73511424000.0,1.33,0.85
2021-03-26,1037.75,1054.59,1055.93,1037.75,1.71,17.72,59085798,95966949376.0,1.75,1.04
2021-03-29,1056.63,1050.7,1056.63,1048.15,-0.37,-3.89,55786931,85176176640.0,0.8,0.98
2021-03-30,1049.36,1042.15,1049.36,1039.04,-0.81,-8.55,53279603,82794242048.0,0.98,0.93
2021-03-31,1042.19,1044.05,1045.63,1037.42,0.18,1.9,47139540,75625975808.0,0.79,0.83
2021-04-01,1045.41,1047.82,1049.18,1041.25,0.36,3.77,49191053,75616169984.0,0.76,0.86
2021-04-02,1049.67,1053.38,1054.17,1045.4,0.53,5.56,51893059,78538313728.0,0.84,0.91
2021-04-06,1056.38,1069.39,1070.08,1056.38,1.52,16.01,56311698,82201305088.0,1.3,0.99
2021-04-07,1070.13,1073.59,1073.59,1064.36,0.39,4.2,65723845,93987098624.0,0.86,1.15
2021-04-08,1071.26,1066.19,1073.95,1066.19,-0.69,-7.4,59242588,78583058432.0,0.72,1.04
2021-04-09,1065.43,1067.36,1069.34,1062.56,0.11,1.17,55463434,79782785024.0,0.64,0.97
2021-04-12,1066.85,1049.95,1066.97,1047.47,-1.63,-17.41,60110387,89032089600.0,1.83,1.05
2021-04-13,1049.15,1043.19,1050.46,1040.85,-0.64,-6.76,51587180,71258583040.0,0.92,0.9
2021-04-14,1043.13,1060.58,1060.58,1042.92,1.67,17.39,54931259,82100813824.0,1.69,0.96
2021-04-15,1056.7,1058.57,1059.97,1050.96,-0.19,-2.01,58486925,76211294208.0,0.85,1.03
2021-04-16,1059.46,1076.4,1077.74,1059.46,1.68,17.83,67917087,88871755776.0,1.73,1.19
2021-04-19,1082.36,1109.75,1110.3,1082.36,3.1,33.35,92013658,135207325696.0,2.6,1.61
2021-04-20,1109.23,1101.97,1113.2,1101.62,-0.7,-7.78,87327104,126158729216.0,1.04,1.53
2021-04-21,1095.37,1093.23,1098.69,1088.15,-0.79,-8.74,72413565,100952924160.0,0.96,1.27
2021-04-22,1096.12,1097.51,1102.62,1095.23,0.39,4.28,73253937,104915513344.0,0.68,1.28
2021-04-23,1094.45,1093.9,1097.72,1088.53,-0.33,-3.61,74612777,107385860096.0,0.84,1.31
2021-04-26,1094.92,1088.17,1101.69,1087.37,-0.52,-5.73,80704164,126731689984.0,1.31,1.41
2021-04-27,1086.16,1074.38,1086.4,1066.04,-1.27,-13.79,69870643,102697086976.0,1.87,1.22
2021-04-28,1071.71,1078.73,1078.81,1066.46,0.4,4.35,64404557,105813803008.0,1.15,1.13
2021-04-29,1075.79,1071.3,1077.17,1071.3,-0.69,-7.43,61525187,102953562112.0,0.54,1.08
2021-04-30,1069.59,1065.68,1071.09,1060.92,-0.52,-5.62,67836349,116187955200.0,0.95,1.19
2021-05-06,1065.05,1071.03,1072.16,1063.81,0.5,5.35,65203441,111290105856.0,0.78,1.14
2021-05-07,1071.44,1061.44,1071.57,1061.44,-0.9,-9.59,70373046,109178580992.0,0.95,1.23
2021-05-10,1061.07,1065.58,1065.63,1056.1,0.39,4.14,70980524,102793953280.0,0.9,1.24
2021-05-11,1060.49,1064.94,1066.68,1049.77,-0.06,-0.64,70735404,103519481856.0,1.59,1.24
2021-05-12,1061.71,1078.06,1078.06,1059.0,1.23,13.12,65045606,95143686144.0,1.79,1.14
2021-05-13,1069.82,1065.66,1076.44,1064.99,-1.15,-12.4,70092700,98600071168.0,1.06,1.23
2021-05-14,1069.07,1082.17,1082.8,1067.32,1.55,16.51,71916595,106368253952.0,1.45,1.26
2021-05-17,1080.65,1077.86,1083.76,1073.73,-0.4,-4.31,76771730,127024508928.0,0.93,1.35
2021-05-18,1075.21,1081.26,1081.28,1072.67,0.32,3.4,62925530,97369288704.0,0.8,1.1
2021-05-19,1079.85,1091.3,1092.9,1077.0,0.93,10.04,73088310,126798745600.0,1.47,1.28
2021-05-20,1088.48,1088.59,1093.59,1085.99,-0.25,-2.71,79854623,127538864128.0,0.7,1.4
2021-05-21,1090.07,1090.86,1094.36,1089.28,0.21,2.27,69657651,115022024704.0,0.47,1.22
2021-05-24,1089.83,1095.57,1095.57,1089.5,0.43,4.71,64780872,108581982208.0,0.56,1.14
2021-05-25,1094.81,1099.36,1099.48,1088.79,0.35,3.79,73127562,117470609408.0,0.98,1.28
2021-05-26,1100.77,1107.2,1108.01,1098.96,0.71,7.84,69462111,110410682368.0,0.82,1.22
2021-05-27,1108.02,1117.14,1118.12,1107.31,0.9,9.94,70733187,110220013568.0,0.98,1.24
2021-05-28,1118.98,1122.65,1129.31,1118.58,0.49,5.51,83292145,152967106560.0,0.96,1.46
2021-05-31,1125.16,1143.15,1143.15,1125.16,1.83,20.5,79763192,153254191104.0,1.6,1.4
2021-06-01,1142.94,1147.99,1148.5,1139.14,0.42,4.84,79836178,142867763200.0,0.82,1.4
2021-06-02,1148.14,1144.88,1153.06,1140.85,-0.27,-3.11,81301399,127700959232.0,1.06,1.43
2021-06-03,1144.4,1143.54,1154.49,1142.05,-0.12,-1.34,76661409,128429703168.0,1.09,1.34
2021-06-04,1139.85,1154.27,1158.19,1139.36,0.94,10.73,80247442,144627511296.0,1.65,1.41
2021-06-07,1157.85,1161.79,1161.79,1155.13,0.65,7.52,84543186,143226130432.0,0.58,1.48
2021-06-08,1163.3,1164.08,1170.64,1157.72,0.2,2.29,83226911,144093962240.0,1.11,1.46
2021-06-09,1163.47,1166.63,1168.04,1159.51,0.22,2.55,79602107,116499652608.0,0.73,1.4
2021-06-10,1165.48,1176.21,1176.98,1164.5,0.82,9.58,85851561,148777148416.0,1.07,1.5
2021-06-11,1177.49,1168.1,1177.68,1168.1,-0.69,-8.11,92094835,163754524672.0,0.81,1.61
2021-06-15,1169.79,1167.13,1171.87,1161.45,-0.08,-0.97,83294234,142822277120.0,0.89,1.46
2021-06-16,1165.68,1143.02,1165.85,1141.9,-2.07,-24.11,81351944,146334748672.0,2.05,1.43
2021-06-17,1141.89,1153.63,1153.63,1141.89,0.93,10.61,70351176,122502516736.0,1.03,1.23
2021-06-18,1154.25,1179.04,1180.01,1150.34,2.2,25.41,90729300,162209787904.0,2.57,1.59
2021-06-21,1176.81,1195.63,1195.84,1175.2,1.41,16.59,87426207,158883266560.0,1.75,1.53
2021-06-22,1198.53,1204.56,1206.69,1193.24,0.75,8.93,92163156,149963051008.0,1.12,1.62
2021-06-23,1204.92,1216.63,1219.41,1204.35,1.0,12.07,100029038,175837351936.0,1.25,1.75
2021-06-24,1218.61,1211.89,1218.79,1209.62,-0.39,-4.74,100162783,157427003392.0,0.75,1.76
2021-06-25,1211.88,1208.95,1212.58,1198.5,-0.24,-2.94,88624927,148984045568.0,1.16,1.55
2021-06-28,1209.83,1220.65,1223.48,1209.83,0.97,11.7,89671788,159255105536.0,1.13,1.57
2021-06-29,1222.55,1208.27,1223.77,1207.6,-1.01,-12.38,90723871,160802336768.0,1.32,1.59
2021-06-30,1208.56,1222.21,1222.29,1207.1,1.15,13.94,79668764,147175862272.0,1.26,1.4
2021-07-01,1224.31,1196.44,1224.47,1196.44,-2.11,-25.77,83532091,149782880256.0,2.29,1.46
2021-07-02,1193.75,1200.55,1203.46,1190.36,0.34,4.11,81590623,154069852160.0,1.09,1.43
2021-07-05,1204.88,1226.44,1226.44,1204.88,2.16,25.89,87024630,169416761344.0,1.8,1.53
2021-07-06,1227.05,1225.67,1233.98,1210.3,-0.06,-0.77,89708421,182284484608.0,1.93,1.57
2021-07-07,1218.6,1247.06,1247.84,1216.25,1.75,21.39,97963740,192801550336.0,2.58,1.72
2021-07-08,1250.44,1251.89,1256.68,1248.75,0.39,4.83,106643599,205711171584.0,0.64,1.87
2021-07-09,1247.47,1268.44,1270.35,1244.54,1.32,16.55,110132895,211865542656.0,2.06,1.93
2021-07-12,1276.24,1291.26,1296.07,1276.03,1.8,22.82,125438456,248967327744.0,1.58,2.2
2021-07-13,1291.51,1295.11,1295.11,1282.36,0.3,3.85,119725340,222243745792.0,0.99,2.1
2021-07-14,1291.13,1272.32,1291.13,1271.91,-1.76,-22.79,117452168,227420708864.0,1.48,2.06
2021-07-15,1265.66,1263.22,1268.81,1240.91,-0.72,-9.1,109134633,209112236032.0,2.19,1.91
2021-07-16,1261.66,1263.17,1276.28,1259.75,0.0,-0.05,105915308,202695897088.0,1.31,1.86
2021-07-19,1262.09,1259.62,1264.56,1252.52,-0.28,-3.55,102982807,202904100864.0,0.95,1.81
2021-07-20,1249.09,1272.93,1273.02,1247.42,1.06,13.31,89677327,162776977408.0,2.03,1.57
2021-07-21,1277.11,1300.28,1302.37,1277.11,2.15,27.35,114385295,222186864640.0,1.98,2.0
2021-07-22,1303.12,1316.55,1316.55,1299.16,1.25,16.27,120460393,223031611392.0,1.34,2.11
2021-07-23,1316.42,1310.32,1323.9,1305.95,-0.47,-6.23,133105096,240436776960.0,1.36,2.33
2021-07-26,1309.12,1297.2,1312.1,1272.86,-1.0,-13.12,127877614,230489313280.0,2.99,2.24
2021-07-27,1298.34,1268.98,1310.38,1268.85,-2.18,-28.22,131497759,255551819776.0,3.2,2.3
2021-07-28,1255.82,1237.23,1262.12,1208.84,-2.5,-31.75,113795694,212451291136.0,4.2,1.99
2021-07-29,1254.21,1286.87,1289.97,1254.21,4.01,49.64,110528727,223893606400.0,2.89,1.94
2021-07-30,1287.43,1308.41,1313.45,1286.64,1.67,21.54,117089216,240875208704.0,2.08,2.05
2021-08-02,1317.42,1339.85,1339.85,1316.37,2.4,31.44,124632607,270363643904.0,1.79,2.18
2021-08-03,1337.48,1320.24,1347.97,1316.58,-1.46,-19.61,120753121,244710559744.0,2.34,2.12
2021-08-04,1316.62,1359.92,1359.93,1316.58,3.01,39.68,111028649,244144996352.0,3.28,1.95
2021-08-05,1356.22,1354.79,1358.56,1341.73,-0.38,-5.13,111812595,226105114624.0,1.24,1.96
2021-08-06,1361.09,1373.11,1375.42,1357.56,1.35,18.32,117906798,246246973440.0,1.32,2.07
2021-08-09,1369.46,1372.47,1372.47,1352.59,-0.05,-0.64,115305439,232330530816.0,1.45,2.02
2021-08-10,1369.8,1384.35,1394.37,1368.46,0.87,11.88,120770035,244132311040.0,1.89,2.12
2021-08-11,1383.9,1409.96,1409.96,1375.48,1.85,25.61,131515136,238873300992.0,2.49,2.31
2021-08-12,1408.09,1421.53,1425.55,1401.91,0.82,11.57,145117898,263270932480.0,1.68,2.54
2021-08-13,1417.22,1424.1,1431.41,1415.33,0.18,2.57,133737748,253604483072.0,1.13,2.34
2021-08-16,1420.92,1410.36,1422.56,1403.51,-0.96,-13.74,124020452,238580981760.0,1.34,2.17
2021-08-17,1408.37,1366.72,1413.54,1362.85,-3.09,-43.64,129133673,220461678592.0,3.59,2.26
2021-08-18,1363.02,1371.87,1382.36,1360.41,0.38,5.15,102584148,190337863680.0,1.61,1.8
2021-08-19,1368.15,1374.35,1383.13,1350.81,0.18,2.48,110149532,204188348416.0,2.36,1.93
2021-08-20,1368.01,1369.4,1373.7,1348.14,-0.36,-4.95,100595756,193454747648.0,1.86,1.76
2021-08-23,1374.21,1415.35,1415.43,1374.21,3.36,45.95,111941965,220033146880.0,3.01,1.96
2021-08-24,1419.36,1422.76,1431.04,1414.58,0.52,7.41,124323543,239766384640.0,1.16,2.18
2021-08-25,1420.89,1430.13,1430.13,1412.71,0.52,7.37,113922903,210729455616.0,1.22,2.0
2021-08-26,1429.26,1422.42,1437.21,1420.69,-0.54,-7.71,126973133,226481618944.0,1.16,2.23
2021-08-27,1418.06,1425.71,1427.24,1407.06,0.23,3.29,137328453,232895328256.0,1.42,2.41
2021-08-30,1422.52,1430.35,1439.49,1420.34,0.33,4.64,133280399,271281995776.0,1.34,2.34
2021-08-31,1428.68,1421.84,1428.68,1408.02,-0.59,-8.51,124555018,226559885312.0,1.44,2.18
2021-09-01,1422.19,1390.45,1422.73,1373.91,-2.21,-31.39,140455468,248563605504.0,3.43,2.46
2021-09-02,1385.27,1411.72,1411.96,1383.18,1.53,21.27,116040760,197292994560.0,2.07,2.03
2021-09-03,1410.78,1401.3,1429.53,1390.69,-0.74,-10.42,129476851,219059888128.0,2.75,2.27
2021-09-06,1402.02,1414.92,1414.92,1383.43,0.97,13.62,107835822,197261893632.0,2.25,1.89
2021-09-07,1416.21,1437.62,1437.62,1411.72,1.6,22.7,111136778,203701813248.0,1.83,1.95
2021-09-08,1437.54,1440.39,1443.45,1432.26,0.19,2.77,118389650,200972750848.0,0.78,2.08
2021-09-09,1439.13,1432.3,1440.51,1423.07,-0.56,-8.09,110837192,193317027840.0,1.21,1.94
2021-09-10,1433.36,1430.45,1435.67,1414.76,-0.13,-1.85,116526953,208083144704.0,1.46,2.04
2021-09-13,1432.0,1430.39,1432.0,1418.66,0.0,-0.06,113843095,201106767872.0,0.93,2.0
2021-09-14,1428.92,1425.78,1447.07,1422.1,-0.32,-4.61,120164618,234212356096.0,1.75,2.11
2021-09-15,1423.65,1439.72,1439.72,1417.1,0.98,13.94,108337306,211048112128.0,1.59,1.9
2021-09-16,1440.29,1402.56,1443.48,1402.56,-2.58,-37.16,118081388,219060973568.0,2.84,2.07
2021-09-17,1401.71,1397.32,1409.26,1372.64,-0.37,-5.24,98923791,179989135360.0,2.61,1.73
2021-09-22,1381.45,1400.05,1400.53,1378.39,0.2,2.73,78133094,142005465088.0,1.58,1.37
2021-09-23,1406.37,1407.76,1412.98,1402.66,0.55,7.71,88332700,164962418688.0,0.74,1.55
2021-09-24,1407.0,1380.25,1407.03,1379.17,-1.95,-27.51,83367744,155672793088.0,1.98,1.46
2021-09-27,1383.12,1335.04,1386.35,1320.65,-3.28,-45.21,93444851,177861005312.0,4.76,1.64
2021-09-28,1331.9,1334.87,1340.65,1327.44,-0.01,-0.17,66241820,131370065920.0,0.99,1.16
2021-09-29,1325.92,1297.22,1327.78,1297.22,-2.82,-37.65,80363336,149531844608.0,2.29,1.41
2021-09-30,1303.89,1330.07,1331.23,1303.89,2.53,32.85,67612009,136485941248.0,2.11,1.19
2021-10-08,1346.54,1346.31,1352.89,1337.89,1.22,16.24,70393070,143902113792.0,1.13,1.23
2021-10-11,1348.36,1342.5,1348.48,1331.37,-0.28,-3.81,63960008,130599247872.0,1.27,1.12
2021-10-12,1341.92,1314.87,1343.64,1302.08,-2.06,-27.63,68537710,132568731648.0,3.1,1.2
2021-10-13,1316.55,1334.93,1335.82,1311.08,1.53,20.06,58621719,125794516992.0,1.88,1.03
2021-10-14,1333.73,1350.59,1353.72,1330.48,1.17,15.66,65904274,131133566976.0,1.74,1.16
2021-10-15,1347.15,1346.9,1351.66,1339.12,-0.27,-3.69,76716933,164206178304.0,0.93,1.34
2021-10-18,1347.51,1368.38,1368.49,1347.09,1.59,21.48,71372884,159169675264.0,1.59,1.25
2021-10-19,1370.62,1380.75,1382.04,1370.49,0.9,12.37,76033971,158543421440.0,0.84,1.33
2021-10-20,1377.56,1385.23,1391.25,1373.97,0.32,4.48,80044262,171343814656.0,1.25,1.4
2021-10-21,1385.94,1374.14,1386.0,1370.39,-0.8,-11.09,76799805,158975254528.0,1.13,1.35
2021-10-22,1373.94,1358.0,1374.05,1357.34,-1.17,-16.14,75977741,162384306176.0,1.22,1.33
2021-10-25,1358.3,1382.53,1382.53,1355.14,1.81,24.53,78045100,181464268800.0,2.02,1.37
2021-10-26,1391.47,1389.19,1399.19,1385.13,0.48,6.66,96477704,210592505856.0,1.02,1.69
2021-10-27,1384.14,1375.11,1387.57,1369.54,-1.01,-14.08,94246269,196899446784.0,1.3,1.65
2021-10-28,1369.04,1348.88,1374.33,1343.48,-1.91,-26.23,93782751,202087235584.0,2.24,1.64
2021-10-29,1350.43,1374.04,1374.04,1343.0,1.87,25.16,91815470,209160347648.0,2.3,1.61
2021-11-01,1373.5,1405.32,1407.85,1372.3,2.28,31.28,106967908,229845168128.0,2.59,1.87
2021-11-02,1407.68,1394.56,1419.47,1382.28,-0.77,-10.76,106132475,218831007744.0,2.65,1.86
2021-11-03,1392.25,1398.19,1399.54,1382.78,0.26,3.63,87597629,180777996288.0,1.2,1.54
2021-11-04,1402.15,1433.54,1433.54,1402.15,2.53,35.35,99370322,203600207872.0,2.25,1.74
2021-11-05,1432.99,1430.28,1444.47,1429.84,-0.23,-3.26,113762557,220190715904.0,1.02,1.99
2021-11-08,1430.81,1447.98,1447.98,1430.81,1.24,17.7,101714199,215331262464.0,1.2,1.78
2021-11-09,1449.82,1464.85,1464.85,1449.23,1.17,16.87,91883791,185725464576.0,1.08,1.61
2021-11-10,1459.69,1474.87,1474.87,1452.02,0.68,10.02,94931441,204318769152.0,1.56,1.66
2021-11-11,1472.88,1488.71,1490.84,1472.62,0.94,13.84,97394138,187922628608.0,1.24,1.71
2021-11-12,1488.59,1525.37,1525.92,1488.59,2.46,36.66,104949573,199316008960.0,2.51,1.84
2021-11-15,1533.62,1532.1,1539.88,1526.81,0.44,6.73,118394744,228622659584.0,0.86,2.08
2021-11-16,1528.9,1514.54,1529.35,1513.78,-1.15,-17.56,113194491,201226346496.0,1.02,1.98
2021-11-17,1516.96,1550.99,1550.99,1516.96,2.41,36.45,116762368,207631429632.0,2.25,2.05
2021-11-18,1552.14,1539.88,1553.31,1539.88,-0.72,-11.11,124294426,220115308544.0,0.87,2.18
2021-11-19,1537.77,1561.55,1563.42,1536.93,1.41,21.67,123725051,217902510080.0,1.72,2.17
2021-11-22,1564.59,1597.07,1597.07,1564.49,2.27,35.52,131059694,264811954176.0,2.09,2.3
2021-11-23,1600.5,1605.7,1612.03,1599.96,0.54,8.63,133245292,248424275968.0,0.76,2.34
2021-11-24,1605.3,1604.46,1613.31,1601.2,-0.08,-1.24,123633695,224277557248.0,0.75,2.17
2021-11-25,1605.47,1597.98,1605.47,1594.72,-0.4,-6.48,110940815,199024615424.0,0.67,1.94
2021-11-26,1595.41,1603.24,1606.81,1594.32,0.33,5.26,106599212,201248411648.0,0.78,1.87
2021-11-29,1578.1,1624.93,1624.93,1576.1,1.35,21.69,111981752,232291528704.0,3.05,1.96
2021-11-30,1636.42,1639.52,1651.73,1628.46,0.9,14.59,124745587,243729985536.0,1.43,2.19
2021-12-01,1638.45,1654.86,1654.86,1637.32,0.94,15.34,120550395,222237634560.0,1.07,2.11
2021-12-02,1654.59,1644.79,1659.46,1644.05,-0.61,-10.07,132739581,236116795392.0,0.93,2.33
2021-12-03,1642.71,1646.05,1652.16,1632.74,0.08,1.26,114866993,212148510720.0,1.18,2.01
2021-12-06,1644.7,1613.1,1644.7,1611.04,-2.0,-32.95,119192507,223675805696.0,2.04,2.09
2021-12-07,1619.68,1576.15,1622.22,1565.63,-2.29,-36.95,117647199,241304711168.0,3.51,2.06
2021-12-08,1580.45,1609.75,1609.75,1579.52,2.13,33.6,103624827,204873719808.0,1.92,1.82
2021-12-09,1611.13,1606.74,1613.63,1604.03,-0.19,-3.01,106992266,211682742272.0,0.6,1.88
2021-12-10,1600.25,1622.66,1623.72,1596.84,0.99,15.92,103872538,210578141184.0,1.67,1.82
2021-12-13,1626.36,1623.03,1627.34,1609.24,0.02,0.37,109504573,216071581696.0,1.12,1.92
2021-12-14,1619.54,1624.31,1624.35,1612.36,0.08,1.28,101803740,190205825024.0,0.74,1.78
2021-12-15,1621.88,1622.4,1630.98,1618.62,-0.12,-1.91,98879416,175478673408.0,0.76,1.73
2021-12-16,1622.01,1631.73,1631.73,1616.13,0.58,9.33,99132992,174357061632.0,0.96,1.74
2021-12-17,1629.54,1609.38,1629.54,1609.38,-1.37,-22.35,105928842,187793809408.0,1.24,1.86
2021-12-20,1605.36,1579.78,1610.72,1579.64,-1.84,-29.6,106337613,194979786752.0,1.93,1.86
2021-12-21,1578.9,1606.28,1606.29,1578.9,1.68,26.5,97728092,160534888448.0,1.73,1.71
2021-12-22,1610.72,1614.46,1617.07,1604.53,0.51,8.18,108102807,177867223040.0,0.78,1.89
2021-12-23,1615.76,1625.13,1629.52,1604.97,0.66,10.67,103530808,182640889856.0,1.52,1.81
2021-12-24,1629.03,1578.3,1630.05,1578.3,-2.88,-46.83,109432735,203214565376.0,3.18,1.92
2021-12-27,1573.83,1576.33,1586.75,1565.17,-0.12,-1.97,85243400,157740703744.0,1.37,1.49
2021-12-28,1579.37,1591.63,1591.63,1574.9,0.97,15.3,84819753,163856101376.0,1.06,1.49
2021-12-29,1589.35,1585.92,1591.15,1577.29,-0.36,-5.71,85911959,153097445376.0,0.87,1.51
2021-12-30,1586.66,1593.59,1601.82,1585.86,0.48,7.67,86861514,153178984448.0,1.01,1.52
2021-12-31,1596.87,1596.24,1602.75,1594.03,0.17,2.65,85349130,154826670080.0,0.55,1.5
2022-01-04,1603.58,1596.75,1606.68,1587.58,0.03,0.51,97302589,186657034240.0,1.2,1.71
2022-01-05,1593.53,1556.53,1593.53,1543.92,-2.52,-40.22,101811241,191818088448.0,3.11,1.78
2022-01-06,1548.35,1577.38,1582.69,1546.62,1.34,20.85,90022213,159444783104.0,2.32,1.58
2022-01-07,1577.64,1543.02,1583.0,1543.02,-2.18,-34.36,94400850,166078939136.0,2.53,1.65
2022-01-10,1539.78,1553.2,1557.28,1528.76,0.66,10.18,78130102,144539779072.0,1.85,1.37
2022-01-11,1555.14,1536.63,1565.13,1533.16,-1.07,-16.57,78459479,144144904192.0,2.06,1.38
2022-01-12,1544.09,1569.15,1569.15,1544.09,2.12,32.52,77954668,162155065344.0,1.63,1.37
2022-01-13,1570.93,1553.17,1570.93,1551.38,-1.02,-15.98,81023160,146279391232.0,1.25,1.42
2022-01-14,1547.25,1556.13,1569.98,1540.04,0.19,2.96,81112643,146840563712.0,1.93,1.42
2022-01-17,1555.35,1588.47,1588.85,1555.35,2.08,32.34,81825876,155983138816.0,2.15,1.43
2022-01-18,1587.5,1569.69,1587.5,1565.13,-1.18,-18.78,80577723,145059667968.0,1.41,1.41
